,name,github_id,labels,category,license,homepage,show,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
26,Avian 3D,Jondolf/avian,,physics,,https://crates.io/crates/avian3d,True,,,,,,,,,,,,,,,,393.0,393.0,90.0,5,2.0,,,,,,,,,,,,,,,,
27,Jiminy,duburcqa/jiminy,,ml,MIT,{},False,,,,,,,,,,,,,,,,,,9.0,5,2.0,,1981.0,jiminy-py,https://pypi.org/project/jiminy-py,1981.0,,,,,,,,,,,
28,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,BSD-3-Clause,https://isaac-sim.github.io/IsaacLab,True,,,,,,,,,,,,,,,,,,242.0,4,2.0,,,,,,,,,,,,,,,,
29,Drake,RobotLocomotion/drake,[],physics,BSD-3-Clause,https://drake.mit.edu/,True,,,,,,,,,,,,,,,,,,282.0,4,2.0,,,,,,,,-28.0,,,,,,,,
30,Habitat Sim,facebookresearch/habitat-sim,,ml,,https://aihabitat.org/,True,,,,,,,,,,,,,,,,76.0,76.0,64.0,4,2.0,,,,,,,,,,,,,,,,
31,Genesis,Genesis-Embodied-AI/Genesis,,ml,,{},False,,,,,,,,,,,,,,,,126.0,126.0,113.0,4,2.0,,,,,,,,,,,,,,,,
32,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,mit,https://cosys-lab.github.io/Cosys-AirSim/,True,,,,,,,,,,,,,,,,,,268.0,4,2.0,,,,,,,,,,,,,,,,
33,Project CHRONO,projectchrono/chrono,,physics,BSD 3-Clause,https://projectchrono.org,True,,,,,,,,,,,,,,,,,,156.0,4,2.0,,,,,,,,,,,,,,,,
34,UNav-Sim,open-airlab/UNav-Sim,,maritime,MIT,{},False,,,,,,,,,,,,,,,,,,252.0,4,2.0,,,,,,,,,,,,,,,,
35,Sapien,haosulab/SAPIEN,,ml,,https://sapien.ucsd.edu/,True,,,,,,,,,,,,,,,,253.0,253.0,20.0,4,2.0,,,,,,,,,,,,,,,,
36,PyFlyt,jjshoots/PyFlyt,,aerial,,{},False,,,,,,,,,,,,,,,,39.0,39.0,12.0,4,2.0,,780.0,pyflyt,https://pypi.org/project/pyflyt,780.0,,,,,,,,,,,https://taijunjet.com/PyFlyt/index.html
37,HighwayEnv,Farama-Foundation/HighwayEnv,,others,,https://highway-env.farama.org/,True,,,,,,,,,,,,,,,,,,61.0,4,1.0,,4298.0,highway-env,https://pypi.org/project/highway-env,4298.0,,,-27.0,,,,,,,,
38,ARGoS,ilpincy/argos3,[],robotics,MIT,https://www.argos-sim.info/,True,,,,,,,,,,,,,,,,,,25.0,3,2.0,,,,,,,,,,,,,,,,
39,pyrobosim,sea-bass/pyrobosim,[],flatsim,,https://pyrobosim.readthedocs.io/,True,,,,,,,,,,,,,,,,9.0,9.0,20.0,3,2.0,,711.0,pyrobosim,https://pypi.org/project/pyrobosim,711.0,,,,,,,,,,,
40,RotorS,ethz-asl/rotors_simulator,[],aerial,mit,{},False,,,,,,,,,,,,,,,,,,49.0,3,2.0,,,,,,,,,,,,,,,,
41,O3DE,o3de/o3de,[],game,MIT and Apache-2,https://o3de.org/,True,,,,,,,,,,,,,,,,,,348.0,3,2.0,,,,,,,,,,,,,,,,
42,O3DE for Robotics,o3de/o3de,[],robotics,MIT and Apache-2,https://o3de.org/,True,,,,,,,,,,,,,,,,,,348.0,3,2.0,,,,,,,,,,,,,,,,
43,Atom,o3de/o3de,[],render,Apache-2.0 and MIT,https://docs.o3de.org/docs/atom-guide/,True,,,,,,,,,,,,,,,,,,348.0,3,2.0,,,,,,,,,,,,,,,,
44,AWSim,tier4/AWSIM,,auto,apache-2,{},False,,,,,,,,,,,,,,,,,,36.0,3,3.0,,,,,,,,,,,,,,,,
45,OmiLRS,OmniLRS/OmniLRS,,space,BSD 3-Clause,https://github.com/OmniLRS/OmniLRS/wiki,True,,,,,,,,,,,,,,,,,,22.0,3,1.0,,,,,,,,,,,,,,,,
46,ESMINI,esmini/esmini,,auto,MPL-2,{},False,,,,,,,,,,,,,,,,,,94.0,3,3.0,,,,,,,,,,,,,,,,
47,IGibson,StanfordVL/iGibson,,ml,,https://svl.stanford.edu/igibson/,True,,,,,,,,,,,,,,,,14.0,14.0,34.0,3,3.0,,,,,,,,,,,,,,,,
48,IsaacLab-HARL,some45bucks/IsaacLab-HARL,,ml,BSD-3-Clause,https://some45bucks.github.io/IsaacLab-HARL/,True,,,,,,,,,,,,,,,,,,120.0,3,3.0,,,,,,,,,,,,,,,,
49,Gazebo,gazebosim/gz-sim,,robotics,,https://gazebosim.org/home,True,,,,,,,,,,,,,,,,,,193.0,2,2.0,,,,,,,,,,,https://gazebosim.org/api/sim/9/,,,,,
50,Flightmare,uzh-rpg/flightmare,[],aerial,MIT,https://uzh-rpg.github.io/flightmare/,True,,,,,,,,,,,,,,,,,,7.0,2,2.0,,,,,,,,,,,,,,,,
51,FlightGoggles,mit-aera/FlightGoggles,[],aerial,MIT,https://flightgoggles.mit.edu/,True,,,,,,,,,,,,,,,,,,9.0,2,2.0,,,,,,,,,,,,,,,,
52,OpenRAVE,rdiankov/openrave,[],robotics,Apache-2 and LGPL-3,https://openrave.org/,True,,,,,,,,,,,,,,,,,,123.0,2,2.0,,,,,,,,,,,,,,,,
53,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,[],robotics,Apache-2,{},False,,,,,,,,,,,,,,,,,,13.0,2,2.0,,,,,,,,,,,,,,,,
54,PyBullet Gym,benelot/pybullet-gym,[],ml,MIT,https://pybullet.org/,True,,,,,,,,,,,,,,,,,,14.0,2,3.0,,,,,,,,,,,,,,,,
55,ODE,thomasmarsh/ODE,[],physics,gnu-gpl and BSD-3-clause,http://www.ode.org/,True,,,,,,,,,,,,,,,,,,34.0,2,2.0,,,,,,,,,,,,,,,,
56,DART,dartsim/dart,[],physics,,http://dartsim.github.io/,True,,,,,,,,,,,,,,,,9.0,9.0,79.0,2,2.0,,,,,,,,,,,,,,,,
57,OGRE,OGRECave/ogre,[],render,,https://www.ogre3d.org/,True,,,,,,,,,,,,,,,,,,343.0,2,2.0,,,,,,,,,,,,,,,,
58,Holodeck,BYU-PCCL/holodeck,,ml,,{},False,,,,,,,,,,,,,,,,10.0,10.0,20.0,2,3.0,,,,,,,,,,,,,,,,
59,Morse,morse-simulator/morse,,robotics,OFL-1.1,http://morse-simulator.github.io/,False,,,,,,,,,,,,,,,,,,59.0,2,2.0,,,,,,,,,,,,,,,,
60,Roboschool,openai/roboschool,,robotics,mit,https://blog.openai.com/roboschool/,False,,,,,,,,,,,,,,,,,,9.0,2,2.0,,,,,,,,,,,,,,,,
61,ProcTHOR,allenai/procthor,,ml,,https://procthor.allenai.org/,True,,,,,,,,,,,,,,,,14.0,14.0,7.0,2,3.0,,,,,,,,,,,,,,,,
62,RoboCasa,robocasa/robocasa,,ml,mit,https://robocasa.ai/,True,,,,,,,,,,,,,,,,,,6.0,2,3.0,,,,,,,,,,,,,,,,
63,AGX Dynamics by Algoryx,,,physics,Proprietary Software License,https://www.algoryx.se/agx-dynamics/,True,,,,,,,,,,,,,,,"AGX Dynamics, by Algoryx, is a modular physics simulation toolkit available in C++, C# and Python, on Windows, Mac and..",,,,2,2.0,,,,,,,,,,,,,,,,
64,Ocean Sim,umfieldrobotics/OceanSim,,maritime,BSD 3-Clause,{},False,,,,,,,,,,,,,,,,,,10.0,2,2.0,,,,,,,,,,,,,,,,
65,UWSim,uji-ros-pkg/underwater_simulation,,maritime,GNU-gpl,https://www.irs.uji.es/uwsim/wiki/index.php?title=Installing_UWSim,False,,,,,,,,,,,,,,,,,,25.0,2,2.0,,,,,,,,,,,,,,,,
66,SMaRC 2,smarc-project/smarc2,,maritime,BSD-3-Clause and MIT,{},False,,,,,,,,,,,,,,,,,,34.0,2,2.0,,,,,,,,,,,,,,,,
67,robo-gym,jr-robotics/robo-gym,,ml,,{},False,,,,,,,,,,,,,,,,10.0,10.0,11.0,2,3.0,,,,,,,,,,,,,,,,
68,Fly Craft,GongXudong/fly-craft,,aerial,,{},False,,,,,,,,,,,,,,,,4.0,4.0,,2,2.0,,76.0,flycraft,https://pypi.org/project/flycraft,76.0,,,,,,,,,,,
69,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,,flatsim,MIT,{},False,,,,,,,,,,,,,,,,,,17.0,2,3.0,,,,,,,,,,,,,,,,
70,Vehicle Dynamics Sim,abaeyens/vehicle_dynamics_sim,,flatsim,MIT,{},False,,,,,,,,,,,,,,,Simulates a variety of easily configurable bicycle and Ackermann vehicles with dynamic effects such as acceleration..,,,,2,3.0,,,,,,,,,,,,,,,,
71,DAVE for ROS 2,OES-Lab/dave,,maritime,Apache-2,http://dave-ros2.notion.site,True,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,
